[20-02-23].00:59:42,Cuisine (RX1),24,24.36
[20-02-23].00:59:43,SalonTV (RX2),21,22.15
[20-02-23].00:59:43,Salle a manger (RX3),24,24
[20-02-23].00:59:44,Salon (RX4),26,25.31
[20-02-23].00:59:44,Verriere (RX5),28,21.16
[20-02-23].00:59:45,Chambre Dome (RX6),24,23.73
[20-02-23].00:59:45,Chambre Jardin (RX7),22,23.06
[20-02-23].00:59:46,Salle de bain Dome (RX8),24,23.86
[20-02-23].00:59:46,Dressing Dome (RX9),24,23.88
[20-02-23].00:59:47,Salle de douche (RX10),20,21.5
[20-02-23].00:59:47,Couloir Chambre Dome (RX11),23,24.28
[20-02-23].00:59:48,Salon de Lecture (RX12),19,19.98
[20-02-23].00:59:48,Salle de bain Lecture (RX13),24.5,23.24
[20-02-23].00:59:49,Chambre Samuel (RX14),19,23.07
[20-02-23].00:59:49,Bureau Roia (RX15),22,23.58
[20-02-23].00:59:50,<EOL> (RX0),0,0
[20-02-23].01:59:42,Cuisine (RX1),24,24.32
[20-02-23].01:59:43,SalonTV (RX2),21,22.11
[20-02-23].01:59:43,Salle a manger (RX3),24,23.94
[20-02-23].01:59:44,Salon (RX4),26,25.24
[20-02-23].01:59:44,Verriere (RX5),28,21.03
[20-02-23].01:59:45,Chambre Dome (RX6),24,23.74
[20-02-23].01:59:45,Chambre Jardin (RX7),22,23.05
[20-02-23].01:59:46,Salle de bain Dome (RX8),24,23.9
[20-02-23].01:59:46,Dressing Dome (RX9),24,23.89
[20-02-23].01:59:47,Salle de douche (RX10),20,21.25
[20-02-23].01:59:47,Couloir Chambre Dome (RX11),23,24.14
[20-02-23].01:59:48,Salon de Lecture (RX12),19,19.68
[20-02-23].01:59:48,Salle de bain Lecture (RX13),24.5,23.2
[20-02-23].01:59:49,Chambre Samuel (RX14),19,22.99
[20-02-23].01:59:49,Bureau Roia (RX15),22,23.52
[20-02-23].01:59:50,<EOL> (RX0),0,0
[20-02-23].02:59:42,Cuisine (RX1),24,24.26
[20-02-23].02:59:43,SalonTV (RX2),21,22.07
[20-02-23].02:59:43,Salle a manger (RX3),24,23.87
[20-02-23].02:59:44,Salon (RX4),26,25.16
[20-02-23].02:59:44,Verriere (RX5),28,20.89
